id,est,nord,lat,lon,codicechiave,id_tipologia,tipologia,id_categoria,categoria_prevalente,denominazione,indirizzo,localita,comune,provincia,numero_sedi
"5834","1620701","4855424","43.841889  ","10.501138  ","046017NW001","1","Museo","3","Storia","MUSEO PAOLO CRESCI PER LA STORIA DELL'EMIGRAZIONE ITALIANA","Via Vittorio Emanuele 3","","Lucca","LU","1"
"5836","1636372","4839732","43.697939  ","10.692019  ","050035EP001","1","Museo","3","Storia","MUSEO CASA CARDUCCI","Via Carducci 59","","Santa Maria a Monte","PI","1"
"5838","1740369","4766820","43.015932  ","11.949292  ","052011ST001","1","Museo","2","Archeologia","MUSEO NAZIONALE ETRUSCO DI CHIUSI","Via Porsenna 93","","Chiusi","SI","1"
"5842","1612443","4841794","43.720502  ","10.395587  ","050026US006","1","Museo","8","Specializzato","MUSEO DI ANATOMIA E ISTOLOGIA PATOLOGICA","Via Roma 57","","Pisa","PI","1"
"5843","1645775","4859201","43.871350  ","10.813941  ","047009EP002","1","Museo","7","Territoriale","MUSEO DELLA CITTA' E DEL TERRITORIO","Piazza F. Martini ","","Monsummano Terme","PT","1"
"5844","1682260","4848264","43.764852  ","11.263971  ","048017EP013","1","Museo","1","Arte","CASA 'RODOLFO SIVIERO'","Lungarno Serristori 1 e 3","","Firenze","FI","1"
"5845","1682036","4849874","43.779399  ","11.261741  ","048017US001","5","Centri scientifici-culturali","4","Storia e scienze naturali","MUSEO DI STORIA NATURALE DELL'UNIVERSITA' DI FIRENZE - SEZIONE ORTO BOTANICO GIARDINO DEI SEMPLICI","Via P. A. Micheli 3","","Firenze","FI","1"
"5846","1600456","4857658","43.865019  ","10.249788  ","046033NW001","1","Museo","8","Specializzato","MUSEO DELLA MARINERIA ""ALBERTO GIANNI""","Via Pescheria 9","","Viareggio","LU","1"
"5849","1689198","4799148","43.321246  ","11.332996  ","052032PV010","1","Museo","8","Specializzato","MUSEO DELLA CONTRADA DELLA GIRAFFA","Via delle Vergini 14","","Siena","SI","1"
"5850","1668578","4860313","43.876503  ","11.097905  ","100005MA002","1","Museo","8","Specializzato","MUSEO DEL TESSUTO","Via Puccetti 3","","Prato","PO","1"
"5851","1654033","4768310","43.051739  ","10.890988  ","053015EP004","3","Monumento o complesso monumentale","6","Etnografia e antropologia","ANTICO FRANTOIO","Via Populonia 3","","Massa Marittima","GR","1"
"5852","1653779","4768166","43.050496  ","10.887838  ","053015EP005","1","Museo","6","Etnografia e antropologia","ANTICA FALEGNAMERIA","Vicolo Massaini ","","Massa Marittima","GR","1"
"5853","1661843","4772001","43.083329  ","10.987898  ","053015EP001","1","Museo","2","Archeologia","MUSEO ARCHEOLOGICO DI MASSA MARITTIMA","Piazza Garibaldi 1","","Massa Marittima","GR","1"
"5856","1620836","4855706","","","046017XX5384","2","Siti archeologici","2","Archeologia","DOMUS ROMANA LUCCA ""CASA DEL FANCIULLO SUL DELFINO""","Via Cerase Battisti 15","","Lucca","LU","1"
"5857","1717845","4853460","43.801982  ","11.707729  ","051036PV003","1","Museo","8","Specializzato","MUSEO DELL'ARTE DELLA LANA","Via  Giovanni Sartori 2","","Stia","AR","1"
"5858","1681909","4848593","43.767904  ","11.259726  ","048017PV009","1","Museo","1","Arte","MUSEO DELLA FONDAZIONE HERBERT PERCY HORNE","Via dei Benci 6","","Firenze","FI","1"
"6101","1613239","4841069","43.713862  ","10.405315  ","050026NW001","1","Museo","1","Arte","MUSEO DELLA GRAFICA","Lungarno Galileo Galilei 9","","Pisa","PI","1"
"5860","1681649","4849225","43.773652  ","11.256718  ","048017NW004","1","Museo","1","Arte","RACCOLTE D'ARTE ARCICONFRATERNITA DELLA MISERICORDIA","Piazza Duomo 20","","Firenze","FI","1"
"5861","1681649","4848548","43.767564  ","11.256492  ","048017PV006","1","Museo","5","Scienza e tecnica","MUSEO GALILEO. ISTITUTO E MUSEO DI STORIA DELLA SCIENZA","Piazza dei Giudici 1","","Firenze","FI","1"
