ENTE,NOMESITO,NOMEINCODICE,INDIRIZZOIMPIANTO,CAPIMPIANTO,LOCALITAIMPIANTO,PROVINCIAIMPIANTO,lat,lon
Provincia,PALAZZO PROVINCIA,PRATOWIFI-3,PIAZZA SAN FRANCESCO,59100,PRATO,PO,43.880086,11.09691601
Provincia,WIFICONCENTRATOR-PROVINCIA-PRATO,PRATOWIFICONCENTRATOR,VIA RICASOLI 25,59100,PRATO,PO,43.880251,11.09670451
Provincia,PALAZZO NOVELLUCCI,PRATOWIFI-4,VIA CAIROLI 25,59100,PRATO,PO,43.880234,11.09768801
Provincia,PALAZZO PROVINCIA DIR GENERALE,PRATOWIFI-5,VIA RICASOLI 25,59100,PRATO,PO,43.880371,11.09688001
Provincia,PALAZZO PROVINCIA SALA GIARDINO,PRATOWIFI-6,VIA RICASOLI 25,59100,PRATO,PO,43.880086,11.09691601
Provincia,PALAZZO PROVINCIA SALA SANTORO,PRATOWIFI-7,VIA RICASOLI 25,59100,PRATO,PO,43.880391,11.09701701
Provincia,PALAZZO PROVINCIA PORTINERIA,PRATOWIFI-8,VIA RICASOLI 25,59100,PRATO,PO,43.880171,11.09670601
Provincia,PALAZZO PROVINCIA SALA CONSIGLIO SX,PRATOWIFI-9,VIA RICASOLI 25,59100,PRATO,PO,43.880151,11.09670551
Provincia,PALAZZO PROVINCIA SALA CONSIGLIO DX,PRATOWIFI-10,VIA RICASOLI 25,59100,PRATO,PO,43.880341,11.09601701
Provincia,PALAZZO PROVINCIA UFFICIO TRASPORTI,PRATOWIFI-11,PIAZZA SAN FRANCESCO,59100,PRATO,PO,43.879715,11.09639301
Provincia,ASSOCIAZIONE CULTURALE MICROCOSMO - PRATO,PRATOWIFI-15,VIA CARRAIA 25,59100,PRATO,PO,43.88145025,11.0961445
Provincia,CIRCOLO ARCI DI BACCHERETO - CARMIGNANO,PRATOWIFI-16,VIA MOLINACCIO 25,59015,CARMIGNANO,PO,43.80989593,10.98317997
Provincia,CIRCOLO RICREATIVO CULTURALE ARCI SPOLA D'ORO,PRATOWIFI-21,VIA FATTORI 4,59021,VAIANO,PO,43.93651995,11.12780489
Provincia,ASSOCIAZIONE ARCI PRATO S.LUCIA,PRATOWIFI-23,VIA DEL GUADO 12,59100,PRATO,PO,43.90623633,11.11568414
Provincia,CIRCOLO ARCI L. BALLERINI - PRATO,PRATOWIFI-26,VIA DEL CITTADINO 39,59100,PRATO,PO,43.86443299,11.11317274
Provincia,CIRCOLO ARCI I RISORTI - PRATO,PRATOWIFI-27,VIA FIRENZE 323,59100,PRATO,PO,43.86333518,11.13483755
Provincia,CIRCOLO ARCI CURZIO MALAPARTE - PRATO,PRATOWIFI-28,VIA BOLOGNA 159,59100,PRATO,PO,43.89300386,11.09845721
Provincia,CIRCOLO ARCI COSTA AZZURRA - PRATO,PRATOWIFI-29,VIA FIRENZE 253,59100,PRATO,PO,43.86690888,11.12838651
Provincia,CIRCOLO ARCI RINASCITA - CARMIGNANO,PRATOWIFI-30,VIA ALESSANDRO VOLTA,59015,CARMIGNANO,PO,43.79278253,11.05653936
Provincia,CIRCOLO ARCI L'UNIONE - PRATO,PRATOWIFI-32,VIA DI MEZZO 70,59100,PRATO,PO,43.8771307,11.05737688
Provincia,CIRCOLO ARCI I PARTIGIANI - VERNIO,PRATOWIFI-33,VIA LA PIEVE 46,59024,SAN IPPOLITO - VERNIO,PO,44.03294733,11.1430686
Provincia,CIRCOLO ARCI L. BECAGLI - POGGIO A CAIANO,PRATOWIFI-34,VIA ARDENGO SOFFICI 64,59016,POGGIO A CAIANO,PO,43.81403378,11.05556021
Provincia,CIRCOLO ARCI TRONCI - PRATO,PRATOWIFI-35,VIA DEL LEONE 25,59100,PRATO,PO,43.83533592,11.10555771
Provincia,CIRCOLO ARCI RENZO GRASSI - PRATO,PRATOWIFI-36,VIA PISTOIESE 502,59100,PRATO,PO,43.89441462,11.06758232
Provincia,CIRCOLO ARCI LA LIBERTA - PRATO,PRATOWIFI-37,VIA PISTOIESE 659,59100,PRATO,PO,43.89804324,11.05509581
Provincia,CIRCOLO ARCI PAPERINO - PRATO,PRATOWIFI-38,VIA DELL' ALLORO 14,59100,PRATO,PO,43.84455403,11.08620292
Provincia,CIRCOLO ARCI 29 MARTIRI - PRATO,PRATOWIFI-39,VIA CANTAGALLO 250,59100,PRATO,PO,43.92299512,11.09243121
Provincia,CASA DI MARTA,PRATOWIFI-40,VIA PISTOIESE 613/2,59100,PRATO,PO,43.896599,11.059592
Provincia,CIRCOLO ARCI FAVINI - PRATO,PRATOWIFI-41,VIA PO 4,59100,PRATO,PO,43.89453324,11.08240976
Provincia,BERNARDINI OLGA,PRATOWIFI-46,VIA DEL PELLEGRINO 10,59100,PRATO,PO,43.87948732,11.09423048
Provincia,GIULIANI GIOIELLI S.A.S. DI FABIO GIULIANI & C.,PRATOWIFI-47,VIA FERRUCCI 480,59100,PRATO,PO,43.86312342,11.11798112
Provincia,LABORATORIO ARCHIMEDE S.R.L.,PRATOWIFI-48,VIA MARCO RONCIONI 4,59100,PRATO,PO,43.87338629,11.09050534
Provincia,PUNTO CONTABILE S.N.C. - BUFFETTI BUS,PRATOWIFI-49,VIA GAETANO MAGNOLFI 39,59100,PRATO,PO,43.88315831,11.09791535
Provincia,AZIENDA AGRICOLA VILLA FLORA DI FISSI LEONARDO,PRATOWIFI-50,VIA SAN BIAGIO 10,59015,CARMIGNANO,PO,43.813502,10.996858
Provincia,CA' DEL SETTA DI CECCHI STEFANIA,PRATOWIFI-51,VIA DELLA BADIA 16,59026,MONTEPIANO,PO,44.09099277,11.15865485
Provincia,PROFUMERIA RISALITI RENZO S.R.L.,PRATOWIFI-52,VIA DEL SERRAGLIO 11,59100,PRATO,PO,43.8832424,11.09706348
Provincia,BIRIBAOLA DI CARIATI STEFANO & C. S.A.S.,PRATOWIFI-54,VIA RENATO MANNOCCI 22,59100,PRATO,PO,43.88460877,11.05445485
Provincia,OMNIA CENTER S.R.L. - 55,PRATOWIFI-55,VIA DELLE PLEIADI 18,59100,PRATO,PO,43.87365338,11.06577856
Provincia,OMNIA CENTER S.R.L. - 56,PRATOWIFI-56,VIA DELLE PLEIADI 18,59100,PRATO,PO,43.87365328,11.06577846
Provincia,OMNIA CENTER S.R.L. - 57,PRATOWIFI-57,VIA DELLE PLEIADI 18,59100,PRATO,PO,43.87365318,11.06577836
Provincia,OMNIA CENTER S.R.L. - 58,PRATOWIFI-58,VIA DELLE PLEIADI 18,59100,PRATO,PO,43.87365308,11.06577826
Provincia,OMNIA CENTER S.R.L. - 59,PRATOWIFI-59,VIA DELLE PLEIADI 18,59100,PRATO,PO,43.87365298,11.06577816
Provincia,CINTELLI DI CINTELLI ELISA E C. S.N.C.,PRATOWIFI-60,VIA EMILIO BERTINI 23,59021,LOC. SCHIGNANO - VAIANO,PO,43.96492315,11.10583689
Provincia,CLO S.R.L.,PRATOWIFI-61,VIA TOBBIANESE 3,59100,PRATO,PO,43.8782235,11.05487501
Provincia,MONASH UNIVERSITY,PRATOWIFI-65,VIA PUGLIESI 26,59100,PRATO,PO,43.880337,11.099176
Provincia,AZIENDA U.S.L. N. 4 DI PRATO,PRATOWIFI-66,VIA CAVOUR 118,59100,PRATO,PO,43.87822122,11.08959859
Provincia,AZIENDA U.S.L. N. 4 DI PRATO,PRATOWIFI-67,VIA LAVARONE,59100,PRATO,PO,43.87514358,11.08743743
Provincia,ORDINE DEI COMMERCIALISTI - PRATO,PRATOWIFI-68,VIA PUGLIESI 26,59100,PRATO,PO,43.880437,11.099276
Provincia,ACI - POGGIO A CAIANO,PRATOWIFI-69,PIAZZA IV NOVEMBRE,59016,POGGIO A CAIANO,PO,43.81414618,11.05806127
Provincia,COMUNE DI MONTEMURLO,PRATOWIFI-70,PIAZZA MARTIRI DELLA LIBERTA,59013,MONTEMURLO,PO,43.92727929,11.03694988
Provincia,COMUNE DI MONTEMURLO,PRATOWIFI-72,PIAZZA MARTIRI DELLA LIBERTA,59013,MONTEMURLO,PO,43.92727829,11.03694888
