ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,lat,lon,Location
10837961,JA140317,02-02-2017 14:18,061XX S CALIFORNIA AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,823,8,15,66,26,1158763,1863878,2017,02/14/2017 03:49:42 PM,41.78221201,-87.6934781,"(41.782212013, -87.693478103)"
10837962,JA140313,02-01-2017 09:00,005XX W 60TH PL,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,711,7,20,68,6,1173848,1864787,2017,02/14/2017 03:49:42 PM,41.78438506,-87.63814549,"(41.784385063, -87.638145488)"
10837963,JA139706,02-02-2017 21:05,051XX S PULASKI RD,320,ROBBERY,STRONGARM - NO WEAPON,RESTAURANT,FALSE,FALSE,822,8,23,62,3,1150572,1870152,2017,02/14/2017 03:49:42 PM,41.79959216,-87.72334567,"(41.799592162, -87.723345674)"
10837964,JA140321,01/28/2017 12:00:00 AM,062XX S SPAULDING AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,TRUE,823,8,15,66,20,1155461,1863208,2017,02/14/2017 03:49:42 PM,41.78044022,-87.70560217,"(41.780440222, -87.705602174)"
10837965,JA140272,02-03-2017 12:15,056XX S ELIZABETH ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK,TRUE,FALSE,713,7,16,67,18,1168951,1867402,2017,02/14/2017 03:49:42 PM,41.79166818,-87.65602428,"(41.791668176, -87.656024275)"
10837966,JA140240,02-03-2017 11:30,009XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,1833,18,42,8,6,1177324,1906733,2017,02/14/2017 03:49:42 PM,41.89941016,-87.62413127,"(41.899410159, -87.624131266)"
10837970,JA140264,02-03-2017 12:25,042XX W GLADYS AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,ALLEY,TRUE,FALSE,1132,11,28,26,26,1148240,1898019,2017,02/14/2017 03:49:42 PM,41.87610805,-87.73118141,"(41.876108049, -87.731181409)"
10837971,JA140247,01/31/2017 12:30:00 AM,0000X W 107TH ST,031A,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,512,5,34,49,3,1178028,1834021,2017,02/14/2017 03:49:42 PM,41.69986568,-87.62375017,"(41.699865679, -87.623750172)"
10837972,JA140284,02-03-2017 12:31,019XX W CHICAGO AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,TRUE,FALSE,1212,12,32,24,26,1163112,1905349,2017,02/14/2017 03:49:42 PM,41.89592288,-87.67637046,"(41.895922882, -87.676370461)"
10837973,JA140249,02-03-2017 12:12,037XX W AGATITE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,FALSE,1723,17,39,14,08B,1150606,1929312,2017,02/14/2017 03:49:42 PM,41.961933,-87.72167472,"(41.961933001, -87.721674721)"
